brand_name,model_name,os,popularity,best_price,lowest_price,,,,,,
ALCATEL,1 1/8GB Bluish Black (5033D-2JALUAA),Android,422,1690,1529,,,,,,
ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),Android,323,1803,1659,,,,,,
ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),Android,299,1803,1659,,,,,,
ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),Android,287,1803,1659,,,,,,
Nokia,1.3 1/16GB Charcoal,Android,1047,1999,,,,,,,
Honor,10 6/64GB Black,Android,71,10865,10631,,,,,,
Honor,10 Lite 3/32GB Blue,Android,424,3999,,,,,,,
Honor,10 Lite 4/64GB Black,Android,134,4973,4733,,,,,,
Honor,10 lite 3/128GB Blue,Android,477,5100,4990,,,,,,
Honor,10 lite 3/64GB Black,Android,215,4948,4646,,,,,,
Honor,10 lite 3/64GB Black,Android,179,4948,4646,,,,,,
Honor,10 lite 3/64GB Blue,Android,437,5165,4897,,,,,,
Nokia,105 DS 2019 Pink (16KIGP01A01),,18,583,528,,,,,,
Nokia,105 Dual Sim 2019 Black (16KIGB01A01),,262,601,539,,,,,,
Nokia,105 Dual Sim 2019 Black (16KIGB01A01),,274,601,539,,,,,,
Nokia,105 Dual Sim New Black (A00028315),,507,552,499,,,,,,
Nokia,105 Single Sim 2019 Black (16KIGB01A13),,805,536,449,,,,,,
Nokia,105 Single Sim 2019 Pink (16KIGP01A13),,692,547,496,,,,,,
Nokia,105 Single Sim New Black (A00028356),,460,663,499,,,,,,
Nokia,105 Single Sim New Black (A00028356),,455,663,499,,,,,,
Nokia,105 Single Sim New Blue (A00028372),,378,474,450,,,,,,
Nokia,105 Single Sim New White (A00028371),,59,499,,,,,,,
Nokia,106 New DS Grey (16NEBD01A02),,838,596,544,,,,,,
Nokia,106 New DS Grey (16NEBD01A02),,841,596,544,,,,,,
Honor,10i 4/128GB Black (51093VQV),Android,532,5499,,,,,,,
Honor,10i 4/128GB Blue (51093VQX),Android,444,5499,,,,,,,
Nokia,110 Dual Sim 2019 Black (16NKLB01A07),,471,710,640,,,,,,
Nokia,110 Dual Sim 2019 Blue (16NKLL01A04),,248,702,640,,,,,,
Nokia,125 Dual Sim Black (16GMNB01A17),,807,992,899,,,,,,
Meizu,15 4/128GB Black,Android,490,6584,,,,,,,
Meizu,15 4/64GB Black,Android,166,5272,4970,,,,,,
Meizu,15 4/64GB Black,Android,125,5272,4970,,,,,,
Meizu,15 4/64GB Black,Android,116,5272,4970,,,,,,
Meizu,15 Plus 6/64GB Black,Android,666,5328,,,,,,,
Meizu,15 Plus 6/64GB Gray,Android,415,5328,,,,,,,
Meizu,15 Plus 6/64GB Gray,Android,405,5328,,,,,,,
Nokia,150 Black,,920,1180,959,,,,,,
Nokia,150 Dual Sim Cyan (16GMNE01A04),,543,1190,1090,,,,,,
Nokia,150 Dual Sim Red (16GMNR01A02),,835,1196,1090,,,,,,
Nokia,150 White,,645,1090,959,,,,,,
Meizu,16 6/128GB Black,Android,1111,5926,5290,,,,,,
Meizu,16 6/64GB Black,Android,1144,5231,4599,,,,,,
Meizu,16X 6/128GB Dual Purple,Android,663,5649,5599,,,,,,
Meizu,16Xs 6/128GB Pearl White,Android,900,7229,6840,,,,,,
Meizu,16th 6/64GB Black,Android,1063,7776,7049,,,,,,
ALCATEL,1B 5002H Pine Green (5002H-2BALUA12),Android,195,2399,,,,,,,
ALCATEL,1B 5002H Prime Black (5002H-2AALUA12),Android,616,2408,2168,,,,,,
ALCATEL,1SE 3/32GB Power Gray (5030D-2AALUA2),Android,629,3249,2889,,,,,,
ALCATEL,1SE 4/128GB Agate Green (5030E-2BALUA2),Android,790,3877,3581,,,,,,
ALCATEL,1SE 4/128GB Agate Green (5030E-2BALUA2),Android,793,3877,3581,,,,,,
Nokia,2.2 2/16GB Black,Android,1052,2299,,,,,,,
Nokia,2.3 2/32GB Green,Android,870,2799,,,,,,,
Nokia,2.4 2/32GB Charcoal,Android,1031,3162,2999,,,,,,
Honor,20 6/128GB Black,Android,823,9999,,,,,,,
ALCATEL,2003 Dual SIM Dark Gray (2003D-2AALUA1),,538,655,649,,,,,,
ALCATEL,2003 Dual SIM Dark Gray (2003D-2AALUA1),,527,655,649,,,,,,
ALCATEL,2003 Dual SIM Metallic Blue (2003D-2BALUA1),,193,654,647,,,,,,
ALCATEL,2019 Single SIM Metallic Gray (2019G-3AALUA1),,545,864,849,,,,,,
ALCATEL,2053 Dual SIM Pure White (2053D-2BALUA1),,475,900,899,,,,,,
ALCATEL,2053 Dual SIM Volcano Black (2053D-2AALUA1),,585,898,795,,,,,,
Nokia,210 Dual SIM 2019 Black (16OTRB01A02),,464,1153,975,,,,,,
Nokia,230 Dual Blue (16PCML01A02),,65,1864,1717,,,,,,
Nokia,230 Dual Dark Silver (A00026971),,860,1847,1725,,,,,,
Nokia,2720 Flip Black (16BTSB01A10),iOS,883,2530,2395,,,,,,
Nokia,2720 Flip Red,,721,2567,2389,,,,,,
Nokia,2720 Flip Red,,719,2567,2389,,,,,,
realme,3 Pro 6/128GB Nitro Blue,Android,103,7068,,,,,,,
realme,3 Pro 6/128GB Nitro Blue,Android,128,7068,,,,,,,
Nokia,3.4 3/64GB Charcoal,Android,1132,3899,3550,,,,,,
OnePlus,3T 128GB (Gunmetal),OxygenOS,235,6991,6195,,,,,,
OnePlus,3T 128GB (Gunmetal),OxygenOS,188,6991,6195,,,,,,
OnePlus,3T 64GB (Gunmetal),OxygenOS,921,5856,5630,,,,,,
ALCATEL,3X 5048Y Black (5048Y-2AALWE12),Android,194,3590,,,,,,,
Archos,40 Neon,Android,190,840,,,,,,,
Archos,40 Neon,Android,224,840,,,,,,,
realme,5 4/128GB Violet,Android,280,5757,,,,,,,
OnePlus,5 6/64GB Black,Android,337,7333,,,,,,,
OnePlus,5 6/64GB Slate Grey,Android,234,7333,,,,,,,
realme,5 Pro 8/128GB Green,Android,38,8294,,,,,,,
realme,5 Pro 8/128GB Green,Android,88,8294,,,,,,,
realme,5 Pro 8/128GB Green,Android,97,8294,,,,,,,
Nokia,5.3 4/64GB Charcoal,Android,1156,4429,4150,,,,,,
Nokia,5.4 4/128GB Polar Night,Android,701,9323,9166,,,,,,
Nokia,5310 2020 DualSim Black/Red (16PISXO1A18),,888,1365,1260,,,,,,
realme,5i 4/64GB Green,Android,137,4761,4532,,,,,,
realme,6 4/128GB Blue,Android,1139,5936,5599,,,,,,
realme,6 4/64GB Blue,Android,1045,5299,,,,,,,
Nokia,6 64GB Black,Android,309,6381,5265,,,,,,
Nokia,6 64GB Silver,Android,21,5265,,,,,,,
realme,6 8/128GB Blue,Android,1118,6767,6289,,,,,,
realme,6 Pro 8/128GB Blue,Android,1117,8045,7499,,,,,,
Nokia,6.1 4/32GB Black,Android,620,3820,3792,,,,,,
Nokia,6.1 4/64GB Black,Android,798,3962,3885,,,,,,
Nokia,6.1 Plus 4/64GB Blue,Android,202,5020,,,,,,,
realme,6S 4/64GB Eclipse Black,Android,329,5777,,,,,,,
realme,6S 4/64GB Eclipse Black,Android,291,5777,,,,,,,
realme,6S 6/128GB Lunar White,Android,953,6078,5749,,,,,,
OnePlus,6T 8/256GB Midnight Black,Android,661,15625,15080,,,,,,
realme,6i 3/64GB White,Android,989,4292,4089,,,,,,
realme,6i 4/128GB Green,Android,1042,4946,4699,,,,,,
Honor,7 16GB (Gold),Android,158,2766,,,,,,,
Honor,7 16GB (Gold),Android,133,2766,,,,,,,
Honor,7 16GB (Gold),Android,108,2766,,,,,,,
realme,7 6/64GB Mist Blue,Android,570,6215,5990,,,,,,
OnePlus,7 8/256GB Mirror Gray,Android,1022,14443,13920,,,,,,
Nokia,7 Plus 4/64GB Black,Android,375,7612,6014,,,,,,
realme,7 Pro 8/128GB Mirror Blue,Android,1179,8584,8199,,,,,,
OnePlus,8 12/256GB Onyx Black,Android,1067,17172,16500,,,,,,
Honor,8 3/32GB Blue,Android,535,3613,3199,,,,,,
Honor,8 4/64GB (Blue),Android,693,3499,,,,,,,
OnePlus,8 8/128GB Onyx Black,Android,1155,15840,14863,,,,,,
Nokia,8 Dual SIM Silver,Android,626,6222,,,,,,,
OnePlus,8 Pro 12/256GB Glacial Green,Android,1095,22587,21778,,,,,,
OnePlus,8 Pro 8/128GB Onyx Black,Android,1161,20709,20095,,,,,,
Nokia,8.3 5G 8/128GB Polar Night,Android,1055,19041,18500,,,,,,
Nokia,800 Tough Black,,609,3241,2989,,,,,,
Nokia,800 Tough Sand,,560,3216,2989,,,,,,
Honor,8A 2/32GB Gold,Android,383,3199,,,,,,,
Honor,8A 3/64GB Blue,Android,430,3844,3690,,,,,,
Honor,8A 3/64GB Blue,Android,433,3844,3690,,,,,,
Honor,8S 2/32GB Black (51093ULM),Android,767,2499,,,,,,,
Honor,8S 2/32GB Black (51093ULM),Android,769,2499,,,,,,,
OnePlus,8T 12/256GB Cyberpunk 2077 Limited Edition,Android,938,23999,23999,,,,,,
OnePlus,8T 12/256GB Lunar Silver,Android,1159,18200,17249,,,,,,
OnePlus,8T 8/128GB Aquamarine Green,Android,1157,16845,16299,,,,,,
Honor,8x Max 4/64GB Black,Android,694,5652,5605,,,,,,
Honor,8x Max 4/64GB Black,Android,697,5652,5605,,,,,,
Honor,8x Max 4/64GB Blue,Android,303,5844,5605,,,,,,
Honor,9 4/64GB Dual Blue,Android,660,4461,3978,,,,,,
Honor,9 Lite 3/32GB Midnight Black,Android,142,3491,3444,,,,,,
Honor,9i 3/32GB Black,Android,342,3424,3399,,,,,,
Honor,9i 3/32GB Black,Android,361,3424,3399,,,,,,
Honor,9i 4/64GB Blue,Android,216,4009,,,,,,,
Honor,9i 4/64GB Blue,Android,180,4009,,,,,,,
Honor,9x 4/128GB Black,Android,1048,5599,4999,,,,,,
Ulefone,A1 Dual Black,,83,817,755,,,,,,
Ulefone,A1 Dual Gold,,384,834,719,,,,,,
Ulefone,A1 Silver,,440,805,691,,,,,,
AGM,A10 6/128GB Black,Android,2,5628,5297,,,,,,
OPPO,A12 3/32GB Black,Android,1024,3520,3375,,,,,,
OPPO,A12 4/64GB Blue,Android,705,3949,3799,,,,,,
Astro,A144 Black/Red,,519,214,199,,,,,,
Astro,A167 Black/Red,,172,599,,,,,,,
Astro,A167 Black/Red,,208,599,,,,,,,
Astro,A167 Black/Red,,221,599,,,,,,,
Astro,A169 Black Gray,,11,399,,,,,,,
Rezone,A170 Point Black,,411,252,220,,,,,,
Rezone,A170 Point Black,,401,252,220,,,,,,
Rezone,A170 Point Dark Blue,,106,252,220,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
